option,endpoint,model_version,code_version,hardware,p50_htr_ms,p95_htr_ms,p50_search_ms,p95_search_ms,throughput_htr_rps,throughput_search_rps,error_rate,concurrency_tested,instance_type,notes
baseline_pytorch_cpu,/predict/htr + /predict/search,trocr-small-handwritten + all-MiniLM-L6-v2 (pretrained),988d229,Intel Xeon E5-2670 v3 @ 2.30GHz,260.8,269.7,9.4,9.5,3.91,103.24,0.0,"1,4,8,16",chameleon_p100,"CPU throughput scales slightly with concurrency (3.91->4.75 rps HTR); search ~identical to GPU"
baseline_pytorch_gpu,/predict/htr + /predict/search,trocr-small-handwritten + all-MiniLM-L6-v2 (pretrained),988d229,NVIDIA Tesla P100,147.2,150.0,9.3,9.4,6.75,106.15,0.0,"1,4,8,16",chameleon_p100,"GPU 1.8x faster on HTR (147ms well within 5s/page budget); search sees no GPU benefit (MiniLM 9.3ms is 100x under 1s target — headroom for re-ranking); throughput flat at ~6.8 rps HTR (single uvicorn worker). Triton next step: dynamic batching for throughput under concurrent load, not single-request latency. MiniLM can stay on CPU in GPU deployment."
